2026-03-24 01:31:46,285 | main | INFO | SeeSense server starting up...
2026-03-24 01:31:46,330 | core.database | INFO | Connected to MongoDB: seesense
2026-03-24 01:31:56,333 | ml_engine.model_loader | INFO | Loading pretrained YOLO model for testing...
2026-03-24 01:31:56,531 | ml_engine.model_loader | INFO | Model loaded successfully
2026-03-24 01:31:56,531 | main | INFO | Server is ready
2026-03-24 13:16:01,863 | core.database | INFO | MongoDB connection closed
2026-03-24 13:16:01,864 | main | INFO | SeeSense server shutting down...
2026-03-24 13:16:06,981 | main | INFO | SeeSense server starting up...
2026-03-24 13:16:07,022 | core.database | INFO | Connected to MongoDB: seesense
2026-03-24 13:16:13,652 | ml_engine.model_loader | INFO | Loading pretrained YOLO model for testing...
2026-03-24 13:16:13,804 | ml_engine.model_loader | INFO | Model loaded successfully
2026-03-24 13:16:13,804 | main | INFO | Server is ready
2026-03-24 13:18:41,152 | core.database | INFO | MongoDB connection closed
2026-03-24 13:18:41,152 | main | INFO | SeeSense server shutting down...
2026-03-24 13:18:45,823 | main | INFO | SeeSense server starting up...
2026-03-24 13:18:45,856 | core.database | INFO | Connected to MongoDB: seesense
2026-03-24 13:18:55,077 | ml_engine.model_loader | INFO | Loading pretrained YOLO model for testing...
2026-03-24 13:18:55,215 | ml_engine.model_loader | INFO | Model loaded successfully
2026-03-24 13:18:55,215 | main | INFO | Server is ready
